procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3311028  41484 360760    0    0     0    20  327  345  0  1 99  0  0
 0  0      0 3311028  41484 360760    0    0     0     0  283  338  0  0 100  0  0
 0  0      0 3311028  41484 360760    0    0     0     0  286  342  0  1 99  0  0
 0  0      0 3311028  41484 360776    0    0     0     0  286  368  0  0 100  0  0
 0  0      0 3311028  41484 360776    0    0     0     0  274  333  0  0 100  0  0
 0  0      0 3311028  41492 360768    0    0     0   264  335  366  0  1 98  1  0
 1  0      0 3311028  41492 360776    0    0     0     0  327  353  0  1 99  0  0
 0  0      0 3311028  41492 360776    0    0     0     0  324  346  1  0 99  0  0
 0  0      0 3311028  41492 360776    0    0     0    24  338  385  0  0 100  0  0
 0  0      0 3311028  41492 360776    0    0     0     0  301  334  0  0 100  0  0
 0  0      0 3311028  41492 360776    0    0     0     0  300  353  0  1 99  0  0
 0  0      0 3311028  41500 360780    0    0     0    40  285  354  0  0 99  1  0
 0  0      0 3311028  41500 360788    0    0     0     0  298  340  0  1 99  0  0
 0  0      0 3311028  41500 360788    0    0     0     0  295  365  0  0 100  0  0
 0  0      0 3311028  41500 360788    0    0     0     0  288  340  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3311028  41500 360788    0    0     0     0  281  334  0  0 100  0  0
 0  0      0 3311028  41500 360788    0    0     0    20  290  352  0  0 100  0  0
 0  0      0 3311028  41500 360788    0    0     0     0  285  336  0  0 100  0  0
 0  0      0 3311028  41500 360788    0    0     0     0  288  370  0  1 99  0  0
 0  0      0 3311028  41500 360804    0    0     0     0  292  338  0  0 100  0  0
 1  0      0 3311028  41508 360796    0    0     0    36  304  349  0  0 100  0  0
 0  0      0 3311028  41508 360804    0    0     0     0  282  329  0  0 100  0  0
 0  0      0 3311028  41508 360804    0    0     0     0  299  347  1  1 99  0  0
 0  0      0 3311028  41508 360804    0    0     0     0  283  357  0  0 100  0  0
 0  0      0 3311028  41508 360808    0    0     0    28  308  345  0  0 100  0  0
 0  0      0 3311028  41508 360808    0    0     0     0  280  344  0  0 100  0  0
 0  0      0 3311028  41508 360808    0    0     0     0  311  362  0  1 99  0  0
 0  0      0 3311028  41508 360820    0    0     0     0  298  344  0  0 100  0  0
 0  0      0 3311028  41508 360820    0    0     0     0  313  379  1  0 99  0  0
 0  0      0 3311028  41516 360812    0    0     0    36  287  346  0  1 99  1  0
 0  0      0 3311028  41516 360820    0    0     0     0  297  349  0  0 100  0  0
 0  0      0 3311028  41516 360820    0    0     0     0  287  339  0  0 100  0  0
 0  0      0 3311028  41516 360820    0    0     0    20  301  334  0  1 99  0  0
 0  0      0 3311028  41516 360820    0    0     0     0  307  362  0  0 100  0  0
 0  0      0 3311028  41516 360820    0    0     0     0  311  353  1  0 99  0  0
 0  0      0 3311028  41516 360832    0    0     0     0  282  343  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3311028  41516 360832    0    0     0     0  326  354  0  0 100  0  0
 1  0      0 3311028  41524 360824    0    0     0    36  308  353  1  0 99  0  0
 0  0      0 3311028  41524 360832    0    0     0     0  297  372  0  1 99  0  0
 0  0      0 3311028  41524 360832    0    0     0    20  295  342  0  0 100  0  0
 1  0      0 3311028  41524 360832    0    0     0     0  312  346  0  1 99  0  0
 0  0      0 3311028  41524 360832    0    0     0     4  296  351  0  0 100  0  0
 1  0      0 3311028  41524 360832    0    0     0     0  302  370  0  1 99  0  0
 0  0      0 3311028  41524 360848    0    0     0     0  297  349  1  0 99  0  0
 1  0      0 3311028  41524 360848    0    0     0     0  277  337  0  0 100  0  0
 0  0      0 3311028  41532 360840    0    0     0    36  269  342  0  0 99  1  0
 0  0      0 3311028  41532 360848    0    0     0     0  298  345  0  0 100  0  0
 0  0      0 3311028  41532 360848    0    0     0     0  314  372  1  1 98  0  0
 0  0      0 3311028  41532 360848    0    0     0    24  334  343  0  0 100  0  0
 0  0      0 3311028  41532 360848    0    0     0     0  322  341  0  0 100  0  0
 0  0      0 3311028  41532 360848    0    0     0     0  311  365  0  0 100  0  0
 0  0      0 3311028  41532 360860    0    0     0     0  312  368  0  0 100  0  0
 0  0      0 3311028  41532 360860    0    0     0     0  312  380  0  1 99  0  0
 0  0      0 3311028  41532 360860    0    0     0     0  319  336  0  0 100  0  0
 0  0      0 3311028  41540 360852    0    0     0    36  325  357  0  0 100  0  0
 2  0      0 3311028  41540 360860    0    0     0     0  300  343  1  0 99  0  0
 0  0      0 3311028  41540 360860    0    0     0    20  302  348  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3311028  41540 360860    0    0     0     0  327  388  0  1 99  0  0
 0  0      0 3311028  41540 360860    0    0     0     0  302  344  0  0 100  0  0
 0  0      0 3311028  41540 360880    0    0     0     0  325  343  1  1 99  0  0
 0  0      0 3311028  41540 360880    0    0     0     0  297  332  0  0 100  0  0
 0  0      0 3311028  41540 360880    0    0     0     0  312  344  0  0 100  0  0
 0  0      0 3311028  41548 360880    0    0     0    36  346  391  0  1 99  1  0
 0  0      0 3311028  41548 360880    0    0     0    28  304  348  0  0 100  0  0
 0  0      0 3311028  41548 360880    0    0     0     0  326  341  0  0 100  0  0
 0  0      0 3311028  41548 360880    0    0     0     0  320  340  0  0 100  0  0
 0  0      0 3311028  41548 360892    0    0     0     0  321  352  0  0 100  0  0
 1  0      0 3311028  41548 360892    0    0     0     0  347  388  0  1 99  0  0
